Alimento,Fosforo,Sodio,Potasio,Image
Habas,limitada,aconsejada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.QKfIPZ-_XdkF1pGLvu5SNwHaEV%26pid%3DApi&f=1&ipt=9b5efa0182d7a1fb81c247fda4e7367859fa8a56b6186e873d06fb865c8da346&ipo=images
Frutos secos,limitada,aconsejada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.h3r__gBLeF419amw3reTQAAAAA%26pid%3DApi&f=1&ipt=424e96c102f3b05c2fe37cf705ada10897db247a033f88fbecde3beff6580022&ipo=images
Bollería y repostería,desaconsejada,aconsejada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.explicit.bing.net%2Fth%3Fid%3DOIP.BZne1u3JsVftQhN58DCOGAHaE8%26pid%3DApi&f=1&ipt=55584764dd9afdab65bf316cd7a44a60f9a32da2ff801734451929682ded3bbd&ipo=images
Chocolate,desaconsejada,aconsejada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.DqHun5L_Rz2odZ6cIQty4gHaE7%26pid%3DApi&f=1&ipt=6874075565cf20c6c341439e9c8bfb7ac7e092cb62840d1bbc1691c9abf2783d&ipo=images
Bebidas y refrescos azucarados,desaconsejada,aconsejada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP._NA0NTgrdraItpq3_ctWIwHaEK%26pid%3DApi&f=1&ipt=36b1b8a613fed24145dd3e80e4db9e89532982b3af5cd6ca70b52cd3f86a2877&ipo=images
Ahumados y salazones,aconsejada,limitada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.pyfNvrL957qUua8v46nzdgHaDU%26pid%3DApi&f=1&ipt=94f309fd8c09eda3f4d51fae6a1622bc0639cb6c0d9fecae7707ec4fbb4311f1&ipo=images
Embutidos y fiambres,aconsejada,limitada,desaconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.EPUjX7eHeH4XorKrLTqg4wHaE7%26pid%3DApi&f=1&ipt=246e263cbf2bf13bd0baf5b62f612be5d18d26bee1c91fa2daef7a7c09191b55&ipo=images
Conservas en general,aconsejada,limitada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.HZUue-xiK36gTFOE8_9KZQHaE7%26pid%3DApi&f=1&ipt=f95ef2b8691cd633cf61584b24673aa8fc50ed57e5007bb93467299a46c0130e&ipo=images
Encurtidos vegetales,aconsejada,limitada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.h0cRa2cMR5DfSx8I0jM-3AHaEK%26pid%3DApi&f=1&ipt=0ccf35d1da2c93215fa7e47ceb6d9c2fa730ee948258cb2fa0699f17ede9fb3d&ipo=images
Comida precocinada o manufacturada,aconsejada,limitada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.dJm82UiHU0hF4bnpd4_cIwHaFP%26pid%3DApi&f=1&ipt=d2ee10ca4b8851a27c38b48fe84223abe26ec2f8a2b332537ba339f330ec8be8&ipo=images
Comida rápida (fast food),aconsejada,limitada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.A5gc3PLyH6YHHhIy-x7xdgHaFj%26pid%3DApi&f=1&ipt=bf334348404aae8bf802ecc90deedaf297285802d5b6909d7a02ead043456776&ipo=images
Snacks comerciales,aconsejada,limitada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.vlwINal3VC2Otf9kK1bTfQHaE7%26pid%3DApi&f=1&ipt=62d86269c200cee3191a985d5b12054cb92371fde9c360e0b3305a052eb6041c&ipo=images
Salsas comerciales,aconsejada,limitada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.PRSwC2RUIkr3lG0-7BUoAQHaE8%26pid%3DApi&f=1&ipt=faeba5602c07cb77a1bd6e6124a1736cd119400242df6a5dd9789c0b61964290&ipo=images
